Message ID,Applicable For,Subject,Body,Review Status,Last Review Date
18,All users,You don't have to feel bad to benefit from this.,"Check-ins aren't just for hard days. They're for all days — because steady days, built consistently, are what make you harder to knock over when the hard ones arrive. Today might be completely fine. Check in anyway.
Why it works: Preventive mental health habits work precisely because they're practiced before a crisis, not in response to one. The habit is most valuable when it feels least necessary.
CTA: Check in on a good one →",Completed,23/06/2026
19,All users,What would you tell a friend who felt the way you do right now?,"It's a useful question — because most of us are far more compassionate with others than with ourselves. Bring that same voice into your check-in today. Notice how you're doing, and respond to it the way you'd respond to someone you care about.
Why it works: Self-compassion is a well-evidenced predictor of resilience and emotional recovery. Practicing it during low-stakes moments builds the capacity to access it when it really counts.
CTA: Check in with some kindness →",Completed,23/06/2026
20,All users,You're carrying more than you think. Put some of it down.,"Not permanently. Not forever. Just for a moment — name what's in the pile, acknowledge it honestly, and then choose three things you can actually do in the next 24 hours. That's the reset. That's all it is.
Why it works: Cognitive offloading — externalising what's in your head, even briefly — reduces mental load and frees up the working memory needed for clearer decision-making.
CTA: Put it down for a moment →",Completed,23/06/2026
21,All users,Patterns only appear when you look for them.,"One check-in tells you how you feel today. A week of them starts to show you why. Sleep patterns. Stress triggers. What kinds of days follow which kinds of evenings. That self-knowledge is one of the most useful things you can develop — and it only comes from showing up consistently.
Why it works: Longitudinal self-monitoring reveals behavioural patterns that are invisible day-to-day. The data you gather on yourself over time becomes a practical guide to your own wellbeing.
CTA: Add to your pattern today →",Completed,23/06/2026
22,All users,The week is almost over. How did it actually go?,"Not the version for the group chat — the honest one. A quick check-in at the end of the week is one of the best ways to notice what's been building, name what helped, and choose something intentional to take into the next seven days.
Why it works: Weekly reflection is a natural complement to daily check-ins — it gives you a slightly wider lens at a moment when you're naturally inclined to review.
Note for dev team: Consider surfacing this prompt preferentially on Fridays or the user's self-identified end of week.
CTA: Close the week with intention →",Completed,23/06/2026
23,All users,It's okay if today was hard. Check in anyway.,"You don't have to have fixed anything. You don't have to have had a good day. The check-in isn't a report card — it's just a moment to acknowledge where you are, set something down, and choose three small steps forward. Hard days need this more than easy ones.
Why it works: Maintaining a habit through difficult days is what makes it a real habit, rather than something you do when you feel like it. The consistency is the point — especially on the days it feels hardest.
CTA: Show up for the hard day →",Completed,23/06/2026
24,All users,New week. Clean slate. Three intentions.,"Whatever last week was — a good one, a hard one, a mixed one — today is a natural reset point. A check-in now means you start the week with honest self-awareness and three clear intentions, rather than just hoping this week goes better than the last.
Why it works: Fresh-start moments (new weeks, new months) are well-evidenced trigger points for positive behavioural change. Using them intentionally amplifies their natural motivational value.
Note for dev team: Consider surfacing this prompt preferentially on Mondays or the user's self-identified start of week.
CTA: Set your intentions for the week ahead →",Completed,23/06/2026
25,All users,The community check-in is this week. How are you heading into it?,"Before you show up alongside others, it's worth knowing where you're at yourself. A quick check-in now means you arrive with a little more clarity — and sometimes that's what makes the difference between going through the motions and actually being present.
Why it works: Combining individual self-reflection with community connection amplifies the benefit of both. Knowing your own state before social contact improves the quality of that contact.
Note for dev team: Surface this prompt in the 24-48 hours before the user's local weekly community gathering.
CTA: Check in before you connect →",Completed,23/06/2026
26,All users,You've been quiet for a while. No pressure — just checking in.,"Life gets in the way. That's not a failure — it's just life. But here you are, and here's a moment. A quick check-in is the fastest way to reconnect with yourself after a gap. Not to catch up on everything you missed. Just to start again from today.
Why it works: Restarting a habit after a lapse is significantly easier than starting from scratch — but only if the return is made low-pressure. Self-compassion after a gap predicts better long-term adherence than self-criticism.
Note for dev team: Consider surfacing this prompt after a gap of 5+ days with no check-in. Replaces the standard rotation prompt.
CTA: Start again from today →",Completed,23/06/2026
27,All users,Before the day runs away from you — two minutes.,"It doesn't take long to lose the thread of how you're really doing. A check-in now — before the day fills up — means you start with self-awareness rather than trying to find it at the end when you're already spent.
Why it works: Morning or early-day check-ins leverage the decision-making clarity that's typically highest before cognitive fatigue sets in. Timing habits to high-willpower windows improves consistency.
Note for dev team: Consider surfacing this prompt for users who have indicated a preference for morning check-ins.
CTA: Catch the day before it catches you →",Completed,23/06/2026
28,All users,"End the day with intention, not just exhaustion.","The day is nearly done. Before you let it go — give it two minutes. What happened? How did it land? What are three things you're taking into tomorrow? Going to sleep with a small sense of completion feels different to going to sleep with the day just trailing off.
Why it works: Evening reflection prompts cognitive consolidation of the day's experiences and supports better sleep quality by providing a sense of resolution and closure before rest.
Note for dev team: Consider surfacing this prompt for users who have indicated a preference for evening check-ins.
CTA: Close the day well →",Completed,23/06/2026
